Temp,X0,A1,X1,A2,X2,A3,X3,A4,X4,A5,X5,A6
365170,6.71E-08,5.22E-12,1.43E-08,1.33E-11,1.73E-09,1.21E-11,2.09E-10,5.31E-13,4.21E-16,1.38E-12,1.01E-17,2.50E-12
421700,7.44E-08,4.43E-12,1.64E-08,1.13E-11,2.22E-09,1.02E-11,2.92E-10,4.90E-13,2.42E-15,1.24E-12,8.61E-17,2.25E-12
486970,8.15E-08,3.73E-12,1.86E-08,9.55E-12,2.75E-09,8.47E-12,3.91E-10,4.73E-13,1.11E-14,1.13E-12,5.56E-16,2.03E-12
562340,8.85E-08,3.13E-12,2.06E-08,8.02E-12,3.32E-09,7.04E-12,5.07E-10,4.88E-13,4.19E-14,1.06E-12,2.82E-15,1.83E-12
649380,9.50E-08,2.61E-12,2.27E-08,6.70E-12,3.92E-09,5.84E-12,6.38E-10,5.42E-13,1.34E-13,1.02E-12,1.16E-14,1.64E-12
749890,1.01E-07,2.17E-12,2.46E-08,5.57E-12,4.53E-09,4.84E-12,7.81E-10,6.35E-13,3.69E-13,1.03E-12,3.96E-14,1.47E-12
865960,1.07E-07,1.80E-12,2.63E-08,4.62E-12,5.13E-09,4.02E-12,9.35E-10,7.61E-13,8.98E-13,1.10E-12,1.16E-13,1.32E-12
1000000,1.12E-07,1.49E-12,2.79E-08,3.82E-12,5.72E-09,3.33E-12,1.09E-09,9.09E-13,1.96E-12,1.22E-12,2.96E-13,1.18E-12
1154800,1.16E-07,1.22E-12,2.92E-08,3.15E-12,6.28E-09,2.77E-12,1.26E-09,1.06E-12,3.87E-12,1.37E-12,6.70E-13,1.06E-12
1333500,1.19E-07,1.00E-12,3.04E-08,2.60E-12,6.79E-09,2.31E-12,1.42E-09,1.20E-12,7.05E-12,1.53E-12,1.37E-12,9.47E-13
1539900,1.22E-07,8.24E-13,3.13E-08,2.14E-12,7.26E-09,1.93E-12,1.58E-09,1.31E-12,1.20E-11,1.69E-12,2.56E-12,8.45E-13
1778300,1.24E-07,6.75E-13,3.21E-08,1.76E-12,7.67E-09,1.62E-12,1.73E-09,1.38E-12,1.90E-11,1.81E-12,4.42E-12,7.53E-13
2053500,1.26E-07,5.52E-13,3.26E-08,1.44E-12,8.02E-09,1.36E-12,1.88E-09,1.41E-12,2.86E-11,1.90E-12,7.14E-12,6.69E-13
2371400,1.27E-07,4.52E-13,3.29E-08,1.18E-12,8.31E-09,1.14E-12,2.01E-09,1.40E-12,4.10E-11,1.93E-12,1.09E-11,5.95E-13
2738400,1.27E-07,3.69E-13,3.30E-08,9.67E-13,8.54E-09,9.52E-13,2.13E-09,1.35E-12,5.64E-11,1.92E-12,1.57E-11,5.27E-13
3162300,1.26E-07,3.02E-13,3.30E-08,7.92E-13,8.71E-09,7.97E-13,2.24E-09,1.27E-12,7.47E-11,1.85E-12,2.17E-11,4.67E-13
3651700,1.26E-07,2.46E-13,3.28E-08,6.47E-13,8.81E-09,6.66E-13,2.33E-09,1.18E-12,9.56E-11,1.76E-12,2.87E-11,4.12E-13
4217000,1.24E-07,2.01E-13,3.24E-08,5.29E-13,8.87E-09,5.55E-13,2.40E-09,1.07E-12,1.19E-10,1.63E-12,3.68E-11,3.64E-13
4869700,1.23E-07,1.64E-13,3.20E-08,4.32E-13,8.88E-09,4.62E-13,2.46E-09,9.59E-13,1.44E-10,1.49E-12,4.57E-11,3.20E-13
5623400,1.21E-07,1.35E-13,3.14E-08,3.53E-13,8.84E-09,3.83E-13,2.51E-09,8.46E-13,1.71E-10,1.34E-12,5.51E-11,2.81E-13
6493800,1.19E-07,1.10E-13,3.08E-08,2.88E-13,8.77E-09,3.17E-13,2.55E-09,7.38E-13,1.98E-10,1.18E-12,6.49E-11,2.47E-13
7498900,1.16E-07,9.02E-14,3.01E-08,2.34E-13,8.67E-09,2.62E-13,2.57E-09,6.38E-13,2.26E-10,1.04E-12,7.48E-11,2.16E-13
8659600,1.14E-07,7.40E-14,2.94E-08,1.91E-13,8.54E-09,2.16E-13,2.58E-09,5.46E-13,2.53E-10,8.99E-13,8.46E-11,1.89E-13
10000000,0.000000111,6.08E-14,2.86E-08,1.56E-13,8.38E-09,1.77E-13,2.58E-09,4.63E-13,2.79E-10,7.72E-13,9.39E-11,1.64E-13
11548000,1.08E-07,5.01E-14,2.78E-08,1.27E-13,8.21E-09,1.46E-13,2.57E-09,3.91E-13,3.04E-10,6.59E-13,1.03E-10,1.43E-13
13335000,1.05E-07,4.13E-14,2.69E-08,1.03E-13,8.03E-09,1.19E-13,2.56E-09,3.28E-13,3.27E-10,5.58E-13,1.11E-10,1.24E-13
15399000,1.02E-07,3.42E-14,2.61E-08,8.37E-14,7.83E-09,9.75E-14,2.53E-09,2.73E-13,3.49E-10,4.70E-13,1.18E-10,1.07E-13
17783000,9.94E-08,2.83E-14,2.53E-08,6.81E-14,7.63E-09,7.96E-14,2.51E-09,2.27E-13,3.68E-10,3.94E-13,1.24E-10,9.27E-14
20535000,9.65E-08,2.35E-14,2.45E-08,5.53E-14,7.43E-09,6.49E-14,2.48E-09,1.88E-13,3.85E-10,3.29E-13,1.29E-10,7.99E-14
23714000,9.36E-08,1.96E-14,2.36E-08,4.49E-14,7.22E-09,5.29E-14,2.44E-09,1.55E-13,4.00E-10,2.73E-13,1.33E-10,6.87E-14
27384000,9.07E-08,1.64E-14,2.28E-08,3.65E-14,7.01E-09,4.30E-14,2.40E-09,1.28E-13,4.13E-10,2.26E-13,1.37E-10,5.89E-14
31623000,8.78E-08,1.37E-14,2.21E-08,2.96E-14,6.80E-09,3.50E-14,2.36E-09,1.05E-13,4.24E-10,1.87E-13,1.39E-10,5.04E-14
36517000,8.50E-08,1.16E-14,2.13E-08,2.40E-14,6.60E-09,2.84E-14,2.32E-09,8.58E-14,4.33E-10,1.54E-13,1.41E-10,4.31E-14
42170000,8.22E-08,9.77E-15,2.06E-08,1.95E-14,6.39E-09,2.30E-14,2.28E-09,7.01E-14,4.41E-10,1.27E-13,1.41E-10,3.67E-14
48697000,7.95E-08,8.29E-15,1.98E-08,1.58E-14,6.20E-09,1.87E-14,2.24E-09,5.72E-14,4.47E-10,1.04E-13,1.41E-10,3.12E-14
56234000,7.69E-08,7.06E-15,1.91E-08,1.28E-14,6.00E-09,1.51E-14,2.19E-09,4.66E-14,4.51E-10,8.53E-14,1.41E-10,2.65E-14
64938000,7.43E-08,6.03E-15,1.84E-08,1.04E-14,5.81E-09,1.22E-14,2.15E-09,3.79E-14,4.54E-10,6.99E-14,1.40E-10,2.24E-14
74989000,7.18E-08,5.18E-15,1.78E-08,8.43E-15,5.63E-09,9.91E-15,2.11E-09,3.08E-14,4.56E-10,5.71E-14,1.38E-10,1.89E-14
86596000,6.94E-08,4.47E-15,1.72E-08,6.84E-15,5.45E-09,8.02E-15,2.06E-09,2.50E-14,4.58E-10,4.66E-14,1.37E-10,1.59E-14
100000000,6.70E-08,3.87E-15,1.65E-08,5.54E-15,5.27E-09,6.49E-15,2.02E-09,2.03E-14,4.58E-10,3.81E-14,1.34E-10,1.34E-14
